,UserId,Preferred_Category_Veg_Non_Veg,Lunch
43,43,Non-Vegeterian,"Mushroom Tikka, Mushroom Malai Tikka, Gobi Manchurian, Chilli Mushroom, Chicken Tandoori, Chicken Tikka Dry, Chicken Achari, Murgh Lasooni Kabab, Prawns Fry, Pepper Prawns, Dal Tadka, Farm Fresh Pizza, Mughlai Chicken Handi, Chicken Chettinad, Jeera Rice, Veg Dum Biryani, Plain Naan, Garlic Naan, Lacha Paratha, Kesariya Kheer, Malai Kulfi, Carrot Halwa, Lassi, Chocolate Milkshake"
44,44,Non-Vegeterian,"Paneer 65, Chicken Roast, Pepper Garlic Chicken, Butter Chicken"
45,45,Vegetarian,"Veg Cutlet, Paneer Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Chicken Tandoori, Pepper Garlic Chicken, Mutton Fry, Fish Fry, Butter Garlic Prawns, Chicken 65, Kadaai Paneer, Mix Veg Curry, Farm Fresh Pizza, Butter Chicken, Jeera Rice, Veg Pulao, Veg Dum Biryani, Mutton Dum Biryani, Mutton Biryani, Fish Biryani, Butter Roti, Garlic Naan, Lacha Paratha, Fruit cream, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda"
46,46,Vegetarian,"Mushroom Tikka, Veg Platter, Veg Manchurian, Crispy Corn, Gobi Manchurian, Mushroom Masala, Plain Dosa, Dal Tadka, Farm Fresh Pizza, Matar Pulao, Plain Roti, Butter Roti, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Chocolate Brownie, Carrot Halwa, Chocolate Milkshake"
47,47,Non-Vegeterian,"Veg lollipop, Paneer Multani Tikka, Crispy Corn, Baby Corn, Gobi Manchurian, Paneer  Tikka, Chicken Tandoori, Pepper Garlic Chicken, Cashew Chicken, Chicken Fry, Fish Fry, Butter Garlic Prawns, Apollo Fish, Chilli Chicken, Paneer Butter Masala, Kadaai Paneer, Mix Veg Curry, Mughlai Chicken Handi, Chicken Pizza, Jeera Rice, Paneer Pulao, Veg Dum Biryani, Mutton Dum Biryani, Mixed Non-Veg Fried Rice, Butter Roti, Butter Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Carrot Halwa, Moong daal Halwa, Lassi, Vanilla Milkshake"
48,48,Vegetarian,"Chilli Potatoes, Veg Spring Rolls, Chilli Paneer, Chicken Tandoori, Paneer Butter Masala, Corn Cheese Pizza, Jeera Rice, Butter Naan, Gulab Jamun, Ice-cream, Fresh Lime Soda, Ice Tea"
49,49,Vegetarian,"Veg Cutlet, Veg lollipop, Paneer Tikka, Paneer Achari, Mushroom Malai Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Baby Corn, Paneer  Tikka, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Pakora, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chilli Prawns, Mutton 65, Chicken Drum Sticks, Mushroom Masala, Paneer Butter Masala, Dal Tadka, Mango Kuzhambu, Farm Fresh Pizza, Corn Cheese Pizza, Mughlai Chicken Handi, South Indian Chicken masala, Malvani Chicken Curry, Chicken Madagascar, Chicken Pizza, Mutton 65 Pizza, Plain Rice, Jeera Rice, Veg biryani, Lemon Rice, Chicken Fried Rice, Plain Roti, Garlic Naan, Gulab Jamun, Ice-cream, Fruit cream, Carrot Halwa, Lassi, Vanilla Milkshake, Chocolate Milkshake, Virgin Mojito"
50,50,Non-Vegeterian,"Hara Bara Kabab, Mushroom Malai Tikka, Crispy Corn, Chilli Mushroom, Chilli Paneer, Chicken Malai, Mutton Seekh Kabab, Mutton Awadhi Kabab, Kadaai Paneer, Aloo Gobi Masala, Dal Tadka, Butter Chicken, South Indian Chicken masala, Plain Rice, Jeera Rice, Veg Dum Biryani, Mixed Non-Veg Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Kesariya Kheer, Chocolate Brownie, Malai Kulfi, Fresh Lime Soda, Lassi"
51,51,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Veg Pakora, Veg lollipop, Hara Bara Kabab, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Baby Corn, Gobi Manchurian, Chilli Mushroom, Chilli Paneer, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Mutton Fry, Mutton RR, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Apollo Fish, Chilli Fish, Fish Manchurian, Loose Prawns, Prawns Manchurian, Chilli Prawns, Mutton 65, Pepper Mutton, Chicken Manchurian, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Aloo Gobi Masala, Plain Dosa, Dal Tadka, Arachu Vitta Sambar, Avial with Kerala Red Rice, Bendekaayi Gojju (Ladys Finger Gravy), Mango Kuzhambu, Mix Veg Curry, Farm Fresh Pizza, Corn Cheese Pizza, Margarita Pizza, Hyderabadi Keema, Veg Pulao, Lacha Paratha, Malai Kulfi, Virgin Mojito"
52,52,Non-Vegeterian,"Seekh Kabab, Paneer Tikka, Chicken Tandoori, Chicken Malai, Fish tikka, Butter Chicken, Butter Naan, Garlic Naan, Gulab Jamun, Chocolate Brownie, Fresh Lime Soda, Virgin Mojito"
53,53,Non-Vegeterian,"Lacha Paratha, Shahi Tukda"
54,54,Non-Vegeterian,"Paneer Tikka, Crispy Corn, Chicken Sheesh Kabab, Chocolate Brownie, Malai Kulfi, Fresh Lime Soda"
55,55,Non-Vegeterian,"Veg Platter, Chilli Potatoes, Crispy Corn, Gobi Manchurian, Paneer 65, Chicken Tandoori, Chicken Tikka Dry, Chicken Roast, Lemon Chicken, Fish Fry, Prawns Fry, Ginger Prawns, Chicken Manchurian, Chicken 65, Paneer Butter Masala, Paneer Tikka Masala, Dal Tadka, Farm Fresh Pizza, Mughlai Chicken Handi, Butter Chicken, Mutton 65 Pizza, Plain Rice, Jeera Rice, Matar Pulao, Chicken Dum Biryani, Chicken Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Ice-cream, Chocolate Brownie, Chocolate Pastry, Fresh Lime Soda, Vanilla Milkshake, Chocolate Milkshake, Ice Tea, Virgin Mojito"
56,56,Non-Vegeterian,"Paneer Tikka, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Chicken Tandoori, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Paneer Butter Masala, Mughlai Chicken Handi, Paneer Pulao, Chicken Dum Biryani, Chicken Fried Rice, Butter Naan, Chocolate Brownie, Fresh Lime Soda"
57,57,Non-Vegeterian,"Veg Cutlet, Hara Bara Kabab, Paneer Tikka, Veg Platter, Crispy Corn, Baby Corn, Gobi Manchurian, Chilli Paneer, Paneer  Tikka, Chicken Sheesh Kabab, Chicken Malai, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Mutton Cutlet, Fish tikka, Fish Fry, Apollo Fish, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Dal Tadka, Mix Veg Curry, Butter Chicken, South Indian Chicken masala, Plain Rice, Paneer Pulao, Veg biryani, Lemon Rice, Chicken Dum Biryani, Chicken Fried Rice, Mutton Dum Biryani, Mutton Biryani, Mixed Non-Veg Fried Rice, Butter Roti, Garlic Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Chocolate Brownie, Chocolate Pastry, Carrot Halwa, Fresh Lime Soda, Virgin Mojito"
58,58,Vegetarian,"Veg lollipop, Jeera Rice, Ice-cream, Lassi"
59,59,Non-Vegeterian,"Veg Cutlet, Seekh Kabab, Mushroom Tikka, Gobi Manchurian, Chilli Mushroom, Chicken Tandoori, Chicken Roast, Lemon Chicken, Chicken Fry, Fish Fry, Prawns Manchurian, Chilli Prawns, Chicken Chettinad, Chicken Korma, Barbeque Chicken with Breast, Chicken Dum Biryani, Chicken Pulao, Mutton Dum Biryani, Mutton Biryani, Fresh Lime Soda, Lassi, Virgin Mojito"
60,60,Vegetarian,"Veg Cutlet, Veg lollipop, Paneer Multani Tikka, Chilli Potatoes, Veg Spring Rolls, Chilli Paneer, Kadaai Paneer, Paneer Tikka Masala, Plain Dosa, Dal Tadka, Jeera Rice, Matar Pulao, Butter Naan, Garlic Naan, Carrot Halwa, Vanilla Milkshake"
61,61,Vegetarian,"Veg Pakora, Hara Bara Kabab, Paneer Tikka, Haryali Paneer Tikka, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Gobi Manchurian, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Aloo Gobi Masala, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Pulao, Veg biryani, Veg Dum Biryani, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Malai Kulfi, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda, Lassi, Vanilla Milkshake, Ice Tea, Virgin Mojito"
62,62,Non-Vegeterian,"Paneer  Tikka, Chicken Tandoori, Chicken Tikka Dry, Pepper Garlic Chicken, Chicken Fry, Prawns Fry, Butter Chicken, Ulavacharu Chicken, Chicken Dum Biryani, Butter Naan"
63,63,Non-Vegeterian,"Crispy Corn, Chicken Roast, Paneer Butter Masala, Chicken Chettinad, Nihari Gosht, Matar Pulao, Paneer Pulao, Chicken Dum Biryani, Mutton Biryani, Butter Roti, Butter Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Chocolate Brownie, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda, Virgin Mojito"
64,64,Non-Vegeterian,"Hara Bara Kabab, Seekh Kabab, Chicken Tandoori, Chicken Tikka Dry, Chicken Fry, Chicken Manchurian, Mushroom Masala, Aloo Gobi Masala, Mughlai Chicken Handi, Butter Chicken, Chicken Korma, Barbeque Chicken with Breast, Jeera Rice, Matar Pulao, Chicken Dum Biryani, Butter Roti, Butter Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Chocolate Pastry, Moong daal Halwa, Fresh Lime Soda, Lassi, Chocolate Milkshake"
65,65,Vegetarian,"Veg Cutlet, Paneer Tikka, Chilli Mushroom, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Dal Tadka, Jeera Rice, Paneer Pulao, Veg Pulao, Veg biryani, Veg Dum Biryani, Lemon Rice, Butter Roti, Butter Naan, Gulab Jamun, Ice-cream, Kesariya Kheer, Fruit cream, Chocolate Brownie, Chocolate Pastry, Malai Kulfi, Carrot Halwa, Lassi, Vanilla Milkshake, Chocolate Milkshake, Ice Tea"
66,66,Non-Vegeterian,"Seekh Kabab, Chicken Sheesh Kabab, Chicken Tikka Dry, Mughlai Chicken Handi, Butter Chicken, Plain Rice, Butter Roti, Chocolate Brownie, Fresh Lime Soda"
67,67,Vegetarian,"Veg Cutlet, Veg lollipop, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Paneer Amritsari Tikka, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Baby Corn, Chilli Paneer, Paneer  Tikka, Paneer 65, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Dal Tadka, Farm Fresh Pizza, Corn Cheese Pizza, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Pulao, Veg biryani, Veg Dum Biryani, Butter Naan, Garlic Naan, Lacha Paratha, Ice-cream, Lassi"
68,68,Non-Vegeterian,"Seekh Kabab, Chilli Mushroom, Paneer  Tikka, Chicken Tandoori, Pepper Garlic Chicken, Mutton Pepper Fry, Chicken Drum Sticks, Mushroom Masala, Paneer Butter Masala, Butter Chicken, Chicken Chettinad, Barbeque Chicken with Breast, Mutton Biryani, Butter Naan, Garlic Naan, Lacha Paratha, Ice-cream, Chocolate Brownie, Fresh Lime Soda"
69,69,Non-Vegeterian,"Hara Bara Kabab, Paneer Tikka, Pepper Garlic Chicken, Lemon Chicken, Chicken RR, Mutton Fry, Fish tikka, Chilli Fish, Mushroom Masala, Aloo Gobi Masala, Arachu Vitta Sambar, Mango Kuzhambu, South Indian Chicken masala, Malvani Chicken Curry, Nihari Gosht, Chicken Pizza, Matar Pulao, Veg biryani, Chicken Fried Rice, Mutton Biryani, Butter Roti, Butter Naan, Ice-cream, Chocolate Pastry, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Lassi, Vanilla Milkshake, Ice Tea"
70,70,Non-Vegeterian,"Seekh Kabab, Paneer Multani Tikka, Veg Manchurian, Paneer 65, Chicken Tandoori, Chicken Roast, Fish Fry, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Kadaai Paneer, Paneer Tikka Masala, Mix Veg Curry, Chicken Korma, Chicken Madagascar, Chicken Kheema Balls Pizza, Plain Rice, Jeera Rice, Lemon Rice, Chicken Dum Biryani, Butter Naan, Garlic Naan, Gulab Jamun, Virgin Mojito"
71,71,Non-Vegeterian,"Veg Cutlet, Paneer Tikka, Chilli Potatoes, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Mutton Fry, Mutton RR, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Apollo Fish, Chilli Fish, Fish Manchurian, Loose Prawns, Prawns Manchurian, Chilli Prawns, Mutton 65, Pepper Mutton, Chicken Manchurian, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Aloo Gobi Masala, Plain Dosa, Avial with Kerala Red Rice, Farm Fresh Pizza, Margarita Pizza, Mughlai Chicken Handi, Butter Chicken, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Malvani Chicken Curry, Mutton Kofte, Nihari Gosht, Hyderabadi Keema, Barbeque Chicken with Breast, Chicken Madagascar, Chicken Pizza, Mutton 65 Pizza, Chicken Pepperoni Piza, Chicken Kheema Balls Pizza, Plain Rice, Paneer Pulao, Veg Pulao, Veg biryani, Chicken Dum Biryani, Chicken Fried Rice, Prawns Biryani, Chicken Pulao, Mutton Dum Biryani, Mutton Biryani, Fish Biryani, Mixed Non-Veg Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Kesariya Kheer, Fruit cream, Chocolate Brownie, Chocolate Pastry, Malai Kulfi, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda, Lassi, Vanilla Milkshake, Chocolate Milkshake, Ice Tea, Virgin Mojito"
72,72,Non-Vegeterian,"Seekh Kabab, Paneer Tikka, Paneer Multani Tikka, Haryali Paneer Tikka, Gobi Manchurian, Chilli Mushroom, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Pepper Garlic Chicken, Chicken Fry, Murgh Tangdi Kabab, Mutton Pepper Fry, Fish Fry, Prawns Fry, Chilli Fish, Pepper Mutton, Chicken 65, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Arachu Vitta Sambar, Corn Cheese Pizza, Margarita Pizza, Mughlai Chicken Handi, Butter Chicken, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Mutton Kofte, Hyderabadi Keema, Chicken Pizza, Plain Rice, Veg Pulao, Veg biryani, Veg Dum Biryani, Lemon Rice, Prawns Biryani, Mutton Dum Biryani, Mutton Biryani, Mix-Veg Fried Rice, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Gulab Jamun, Ice-cream, Malai Kulfi, Carrot Halwa, Lassi, Chocolate Milkshake, Ice Tea"
73,73,Non-Vegeterian,"Veg Cutlet, Veg lollipop, Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Veg Spring Rolls, Veg Manchurian, Baby Corn, Gobi Manchurian, Chilli Mushroom, Chilli Paneer, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Tikka Dry, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Fish tikka, Fish Fry, Tandoori Fish, Chilli Fish, Fish Manchurian, Chicken Manchurian, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Aloo Gobi Masala, Dal Tadka, Mix Veg Curry, Farm Fresh Pizza, Corn Cheese Pizza, Mughlai Chicken Handi, Butter Chicken, Chicken Korma, Barbeque Chicken with Breast, Chicken Pizza, Chicken Pepperoni Piza, Chicken Kheema Balls Pizza, Plain Rice, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Pulao, Lemon Rice, Chicken Dum Biryani, Chicken Fried Rice, Chicken Pulao, Fish Biryani, Mixed Non-Veg Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Chocolate Pastry, Carrot Halwa, Fresh Lime Soda, Lassi, Virgin Mojito"
74,74,Vegetarian,"Veg lollipop, Paneer Tikka, Paneer Achari, Haryali Paneer Tikka, Veg Platter, Crispy Corn, Baby Corn, Paneer Butter Masala, Kadaai Paneer, Veg Kofta, Farm Fresh Pizza, Corn Cheese Pizza, Margarita Pizza, Jeera Rice, Garlic Naan, Lacha Paratha, Chocolate Brownie, Shahi Tukda, Lassi, Chocolate Milkshake, Virgin Mojito"
75,75,Vegetarian,"Paneer Tikka, Paneer Achari, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Chilli Paneer, Paneer  Tikka, Paneer 65, Paneer Tikka Masala, Veg Kofta, Plain Dosa, Dal Tadka, Farm Fresh Pizza, Corn Cheese Pizza, Margarita Pizza, Plain Rice, Jeera Rice, Matar Pulao, Veg Pulao, Veg biryani, Butter Roti, Plain Naan, Butter Naan, Ice-cream, Chocolate Brownie, Chocolate Pastry, Carrot Halwa, Vanilla Milkshake, Chocolate Milkshake, Cold drink "
76,76,Non-Vegeterian,"Veg Cutlet, Veg Dumplings, Veg Pakora, Veg lollipop, Hara Bara Kabab, Seekh Kabab, Bharwa Aloo, Paneer Tikka, Paneer Achari, Paneer Multani Tikka, Haryali Paneer Tikka, Paneer Amritsari Tikka, Mushroom Tikka, Mushroom Malai Tikka, Veg Platter, Chilli Potatoes, Veg Spring Rolls, Veg Manchurian, Crispy Corn, Baby Corn, Gobi Manchurian, Chilli Mushroom, Chilli Paneer, Paneer  Tikka, Paneer 65, Chicken Tandoori, Chicken Sheesh Kabab, Chicken Tikka Dry, Chicken Achari, Chicken Malai, Chicken Pakora, Chicken Roast, Pepper Garlic Chicken, Lemon Chicken, Cashew Chicken, Chicken Fry, Chicken RR, Murgh Tangdi Kabab, Murgh Lasooni Kabab, Mutton Fry, Mutton RR, Mutton Seekh Kabab, Mutton Awadhi Kabab, Mutton Cutlet, Mutton Pepper Fry, Fish tikka, Fish Fry, Tandoori Fish, Prawns Fry, Golden Prawns, Butter Garlic Prawns, Pepper Prawns, Ginger Prawns, Apollo Fish, Chilli Fish, Fish Manchurian, Loose Prawns, Prawns Manchurian, Chilli Prawns, Mutton 65, Pepper Mutton, Chicken Manchurian, Chilli Chicken, Chicken 65, Chicken Drum Sticks, Chicken Majestic, Mushroom Masala, Paneer Butter Masala, Kadaai Paneer, Paneer Tikka Masala, Veg Kofta, Aloo Gobi Masala, Plain Dosa, Dal Tadka, Arachu Vitta Sambar, Avial with Kerala Red Rice, Bendekaayi Gojju (Ladys Finger Gravy), Mango Kuzhambu, Mix Veg Curry, Farm Fresh Pizza, Corn Cheese Pizza, Margarita Pizza, Mughlai Chicken Handi, Butter Chicken, South Indian Chicken masala, Chicken Chettinad, Chicken Korma, Malvani Chicken Curry, Mutton Kofte, Nihari Gosht, Hyderabadi Keema, Barbeque Chicken with Breast, Chicken Madagascar, Chicken Pizza, Mutton 65 Pizza, Chicken Pepperoni Piza, Chicken Kheema Balls Pizza, Plain Rice, Jeera Rice, Matar Pulao, Paneer Pulao, Veg Pulao, Veg biryani, Veg Dum Biryani, Lemon Rice, Chicken Dum Biryani, Chicken Fried Rice, Prawns Biryani, Chicken Pulao, Mutton Dum Biryani, Mutton Biryani, Fish Biryani, Mixed Non-Veg Fried Rice, Mix-Veg Fried Rice, Plain Roti, Butter Roti, Plain Naan, Butter Naan, Garlic Naan, Lacha Paratha, Gulab Jamun, Ice-cream, Kesariya Kheer, Fruit cream, Chocolate Brownie, Chocolate Pastry, Malai Kulfi, Shahi Tukda, Carrot Halwa, Moong daal Halwa, Fresh Lime Soda, Lassi, Vanilla Milkshake, Chocolate Milkshake, Ice Tea, Virgin Mojito"
